Mach,kappa_q,alpha_-10,alpha_-10_with_kappa,alpha_-5,alpha_-5_with_kappa,alpha_0,alpha_0_with_kappa,alpha_5,alpha_5_with_kappa,alpha_10,alpha_10_with_kappa
0.5,1.0,-0.35578,-0.35578,-0.17789,-0.17789,0,0.0,0.17789,0.17789,0.35578,0.35578
0.6,1.0,-0.356468,-0.356468,-0.178234,-0.178234,0,0.0,0.178234,0.178234,0.356468,0.356468
0.7,1.0,-0.357362,-0.357362,-0.178681,-0.178681,0,0.0,0.178681,0.178681,0.357362,0.357362
0.8,1.0,-0.358551,-0.358551,-0.179275,-0.179275,0,0.0,0.179275,0.179275,0.358551,0.358551
0.9,1.0,-0.36356,-0.36356,-0.18178,-0.18178,0,0.0,0.18178,0.18178,0.36356,0.36356
1.0,1.0,-0.3837,-0.3837,-0.19185,-0.19185,0,0.0,0.19185,0.19185,0.3837,0.3837
1.1,0.981438202247191,-0.425092,-0.41720152826966295,-0.212546,-0.20860076413483147,0,0.0,0.212546,0.20860076413483147,0.425092,0.41720152826966295
1.2,0.962876404494382,-0.444178,-0.42768851559550564,-0.222089,-0.21384425779775282,0,0.0,0.222089,0.21384425779775282,0.444178,0.42768851559550564
1.3,0.944314606741573,-0.45999,-0.43437527595505615,-0.229995,-0.21718763797752808,0,0.0,0.229995,0.21718763797752808,0.45999,0.43437527595505615
1.4,0.925752808988764,-0.474082,-0.4388827431910112,-0.237041,-0.2194413715955056,0,0.0,0.237041,0.2194413715955056,0.474082,0.4388827431910112
1.5,0.907191011235955,-0.485821,-0.4407324442696629,-0.24291,-0.22036576853932582,0,0.0,0.24291,0.22036576853932582,0.485821,0.4407324442696629
1.6,0.888629213483146,-0.495393,-0.44022069195505614,-0.247697,-0.22011079029213482,0,0.0,0.247697,0.22011079029213482,0.495393,0.44022069195505614
1.7,0.8700674157303371,-0.504587,-0.4390247071011236,-0.252293,-0.21951191851685392,0,0.0,0.252293,0.21951191851685392,0.504587,0.4390247071011236
1.8,0.851505617977528,-0.513496,-0.4372447288089887,-0.256748,-0.21862236440449434,0,0.0,0.256748,0.21862236440449434,0.513496,0.4372447288089887
1.9,0.832943820224719,-0.521706,-0.4345517886741573,-0.260853,-0.21727589433707864,0,0.0,0.260853,0.21727589433707864,0.521706,0.4345517886741573
2.0,0.81438202247191,-0.528435,-0.4303479640449438,-0.264217,-0.21517357483146063,0,0.0,0.264217,0.21517357483146063,0.528435,0.4303479640449438
2.1,0.81438202247191,-0.535052,-0.4357367298876404,-0.267526,-0.2178683649438202,0,0.0,0.267526,0.2178683649438202,0.535052,0.4357367298876404
2.2,0.81438202247191,-0.541576,-0.4410497582022471,-0.270788,-0.22052487910112356,0,0.0,0.270788,0.22052487910112356,0.541576,0.4410497582022471
2.3,0.81438202247191,-0.548024,-0.446300893483146,-0.274012,-0.223150446741573,0,0.0,0.274012,0.223150446741573,0.548024,0.446300893483146
2.4,0.81438202247191,-0.553408,-0.4506855262921348,-0.276704,-0.2253427631460674,0,0.0,0.276704,0.2253427631460674,0.553408,0.4506855262921348
2.5,0.81438202247191,-0.558159,-0.45455465528089883,-0.279079,-0.2272769204494382,0,0.0,0.279079,0.2272769204494382,0.558159,0.45455465528089883
2.6,0.81438202247191,-0.562873,-0.4583936521348314,-0.281436,-0.2291964188764045,0,0.0,0.281436,0.2291964188764045,0.562873,0.4583936521348314
2.7,0.81438202247191,-0.567555,-0.4622065887640449,-0.283778,-0.23110370157303367,0,0.0,0.283778,0.23110370157303367,0.567555,0.4622065887640449
2.8,0.81438202247191,-0.572211,-0.46599835146067414,-0.286105,-0.23299876853932583,0,0.0,0.286105,0.23299876853932583,0.572211,0.46599835146067414
2.9,0.81438202247191,-0.575527,-0.468698842247191,-0.287763,-0.23434901393258425,0,0.0,0.287763,0.23434901393258425,0.575527,0.468698842247191
3.0,0.81438202247191,-0.578425,-0.47105892134831456,-0.289213,-0.23552986786516852,0,0.0,0.289213,0.23552986786516852,0.578425,0.47105892134831456
3.1,0.81438202247191,-0.581312,-0.473410042247191,-0.290656,-0.2367050211235955,0,0.0,0.290656,0.2367050211235955,0.581312,0.473410042247191
3.2,0.81438202247191,-0.584187,-0.4757513905617977,-0.292094,-0.2378761024719101,0,0.0,0.292094,0.2378761024719101,0.584187,0.4757513905617977
3.3,0.81438202247191,-0.587053,-0.47808540943820227,-0.293527,-0.23904311191011232,0,0.0,0.293527,0.23904311191011232,0.587053,0.47808540943820227
3.4,0.81438202247191,-0.58925,-0.47987460674157306,-0.294625,-0.23993730337078653,0,0.0,0.294625,0.23993730337078653,0.58925,0.47987460674157306
3.5,0.81438202247191,-0.591249,-0.48150255640449435,-0.295624,-0.24075087101123593,0,0.0,0.295624,0.24075087101123593,0.591249,0.48150255640449435
3.6,0.81438202247191,-0.593242,-0.4831256197752809,-0.296621,-0.24156280988764045,0,0.0,0.296621,0.24156280988764045,0.593242,0.4831256197752809
3.7,0.81438202247191,-0.59523,-0.484744611235955,-0.297615,-0.2423723056179775,0,0.0,0.297615,0.2423723056179775,0.59523,0.484744611235955
3.8,0.81438202247191,-0.597215,-0.4863611595505618,-0.298607,-0.24318017258426966,0,0.0,0.298607,0.24318017258426966,0.597215,0.4863611595505618
3.9,0.81438202247191,-0.598463,-0.4873775083146067,-0.299231,-0.24368834696629213,0,0.0,0.299231,0.24368834696629213,0.598463,0.4873775083146067
4.0,0.81438202247191,-0.599402,-0.4881422130337078,-0.299701,-0.2440711065168539,0,0.0,0.299701,0.2440711065168539,0.599402,0.4881422130337078
