Mach,kappa_q
1,1.0
1.1,0.9996069669723511
1.2000000000000002,0.9992139339447021
1.3000000000000003,0.9988209009170532
1.4000000000000004,0.9984279274940491
1.5000000000000004,0.9980348944664001
1.6000000000000005,0.9976418614387512
1.7000000000000006,0.9972488284111023
1.8000000000000007,0.9968558549880981
1.9000000000000008,0.9964628219604492
2.000000000000001,0.9960697889328003
2.100000000000001,0.9959436655044556
2.200000000000001,0.9958174824714661
2.300000000000001,0.9956912994384766
2.4000000000000012,0.9955651760101318
2.5000000000000013,0.9954389929771423
2.6000000000000014,0.9953128695487976
2.7000000000000015,0.9951866865158081
2.8000000000000016,0.9950605630874634
2.9000000000000017,0.9949343204498291
3.0000000000000018,0.9948081970214844
3.100000000000002,0.9946388006210327
3.200000000000002,0.994469404220581
3.300000000000002,0.9943000078201294
3.400000000000002,0.9941306710243225
3.500000000000002,0.9939612150192261
3.6000000000000023,0.9937918186187744
3.7000000000000024,0.9936224818229675
3.8000000000000025,0.9934530854225159
3.9000000000000026,0.9932836890220642
4.000000000000003,0.9931142926216125
